Code,Group Description,Name,Diag Name,Long Name,VirgBToCurrentB,GroupID
PL,Large phytoplankton,Diatom,Diatom,Large phytoplankton,1,1
PS,Small phytoplankton,PicoPhytopl,PicoPhytopl,Small phytoplankton,1,2
MA,Macroalgae,Macroalgae,Macroalgae,Macroalgae,1,3
SG,Seagrass,Seagrass,Seagrass,Seagrass,1,4
BB,Benthic bacteria,Sed_Bact,Sed_Bact,Benthic bacteria,1,5
PB,Pelagic bacteria,Pelag_Bact,Pelag_Bact,Pelagic bacteria,1,6
ZG,Jellyfish,Gelat_Zoo,Gelat_Zoo,Jellyfish,1,7
ZL,Large zooplankton,Carniv_Zoo,Carniv_Zoo,Large zooplankton,1,8
ZM,Squid,Zoo,Zoo,Squid,1,9
ZS,Small zooplankton,MicroZoo,MicroZoo,Small zooplankton,1,10
CEP,Adult blue crab,Cephalopod,Cephal,Adult blue crab,1,11
CEPj,Juv blue crab,Cephalopod,Cephal,Juv blue crab,1,12
BO,Snails,Meiobenth,Meiobenth,Snails,1,13
BC,Scallops and penshells,Benthic_carniv,Benthic_Carniv,Scallops and penshells,1,14
BD,Penaeid shrimp,Deposit_Feeder,Deposit_Feeder,Penaeid shrimp,1,15
BFD,Sea cucumbers,Filter_Deep,Filter_Deep,Sea cucumbers,1,16
BFF,Sessile invertebrates,Filter_Other,Filter_Other,Sessile invertebrates,1,17
BFS,Crabs and lobsters,Filter_Shallow,Filter_Shallow,Crabs and lobsters,1,18
BG,Herbivorous echinoderms,Benthic_grazer,Benthic_grazer,Herbivorous echinoderms,1,19
BMD,Carnivorous macrobenthos,Macrobenth_Deep,Macrobenth_Deep,Carnivorous macrobenthos,1,20
BML,Infaunal Epifaunal Meiobenthos,Macrozoobenthos,Megazoobenthos,Infaunal Epifaunal Meiobenthos,1,21
BMS,Bivalves,Macrobenth_Shallow,Macrobenth_Shallow,Bivalves,1,22
PWN,Adult blue shrimp,Prawn,Prawn,Adult blue shrimp,1,23
MB,Microphytobenthos,MicoPB,MicroPB,Microphytobenthos,1,24
DC,Carrion detritus,Carrion,Carrion,Carrion detritus,1,25
DL,Labile detritus,Lab_Det,Lab_Det,Labile detritus,1,26
DR,Refractory detritus,Ref_Det,Ref_Det,Refractory detritus,1,27
FPS,Pacific Angel shark,Planktiv_S_Fish,Planktiv_S_Fish,Pacific Angel shark,1,28
FPL,Small demersal fish,Planktiv_L_Fish,Planktiv_L_Fish,Small demersal fish,1,29
FBP,Gulf coney,Benthopel_Fish,Benthopel_Fish,Gulf coney,1,30
FDB,Extranjero,Demersal_B_Fish,Demersal_B_Fish,Extranjero,1,31
FDC,Leopard grouper,Demersal_DC_Fish,Demersal_DC_Fish,Leopard grouper,1,32
FDD,Gulf grouper,Demersal_D_Fish,Demersal_D_Fish,Gulf grouper,1,33
FDE,Amarillo snapper,Demersal_E_Fish,Demersal_E_Fish,Amarillo snapper,1,34
FDF,Barred pargo,Demersal_F_Fish,Demersal_F_Fish,Barred pargo,1,35
FDM,Groupers and snappers,Demersal_M_Fish,Demersal_M_Fish,Groupers and snappers,1,36
FDO,Drums and croakers,Demersal_O_Fish,Demersal_O_Fish,Drums and croakers,1,37
FDP,Grunts,Demersal_P_Fish,Demersal_P_Fish,Grunts,1,38
FDS,Herbivorous fish,Demersal_S_Fish,Demersal_S_Fish,Herbivorous fish,1,39
FMM,Large reef fish,Mesopel_M_Fish,Mesopel_M_Fish,Large reef fish,1,40
FMN,Small reef fish,Mesopel_N_Fish,Mesopel_N_Fish,Small reef fish,1,41
FPO,Small migratory sharks,Planktiv_O_Fish,Planktiv_O_Fish,Small migratory sharks,1,42
FVB,Large pelagic sharks,Pisciv_B_Fish,Pisciv_B_Fish,Large pelagic sharks,1,43
FVD,Guitarfish,Pisciv_D_Fish,Pisciv_D_Fish,Guitarfish,1,44
FVS,Flatfish,Pisciv_S_Fish,Pisciv_S_Fish,Flatfish,1,45
FVT,Mojarra,Pisciv_T_Fish,Pisciv_T_Fish,Mojarra,1,46
FVV,Scorpionfish,Pisciv_V_Fish,Pisciv_V_Fish,Scorpionfish,1,47
SHB,Lanternfish and deep,Shark_B,Shark_B,Lanternfish and deep,1,48
SHC,Totoaba,Shark_C,Shark_C,Totoaba,1,49
SHD,Large pelagics,Shark_D,Shark_D,Large pelagics,1,50
SHP,Mackerel,Shark_P,Shark_P,Mackerel,1,51
SHR,Hake,Shark_R,Shark_R,Hake,1,52
SSK,Small pelagics,SkateRay,SkateRay,Small pelagics,1,53
FVO,"Skates, rays and sharks",Pisciv_O_Fish,Pisciv_O_Fish,"Skates, rays and sharks",1,54
SB,Sea birds,Seabird,Seabird,Sea birds,1,55
SP,Oceanic sea turtles,Penguin,Penguin,Oceanic sea turtles,1,56
PIN,Pinnipeds,Pinniped,Pinniped,Pinnipeds,1,57
WDG,Vaquita,Dugong,Dugong,Vaquita,1,58
REP,Reef associated turtles,Reptile,Reptile,Reef associated turtles,1,59
WHS,Orca,Whale_Small,Whale_Small,Orca,1,60
WHT,Odontocetae,Whale_Tooth,Whale_Tooth,Odontocetae,1,61
WHB,Mysticeti,Whale_Baleen,Whale_Baleen,Mysticeti,1,62
